title,link,time,text
Galaxy S21 FE: финальные рендеры и предполагаемая дата анонса «народного» флагмана Samsung,"https://itc.ua/news/galaxy-s2-fe-finalnye-rendery-i-predpolagaemaya-data-anonsa-narodnogo-flagmana-samsung/""",15.11.2021 в 09:18,"В сети появились новые рендеры Samsung Galaxy S21 Fan Edition (FE), которые демонстрируют пока неанонсированный  смартфон с разных сторон. Galaxy S21 FE — более доступная версия базовой модели Galaxy S21 по аналогии…"
З 28 грудня у посвідченнях водія з’явиться нова відмітка у вигляді коду «78» — з ним можна буде керувати лише авто з АКПП,"https://itc.ua/news/z-28-grudnya-u-posvidchennyah-vodiya-zyavitsya-nova-vidmitka-u-viglyadi-kodu-78-z-nim-mozhna-bude-keruvati-lishe-avto-z-akpp/""",15.11.2021 в 08:39,Точну дату появи в українських посвідченнях водія нової відмітки про складання практичного іспиту на авто з автоматичною коробкою передач повідомили в Головному центрі МВС України — вона…
«Круг замкнулся»: General Motors построит электрический «Хаммер» для армии США на основе гражданского GMC Hummer EV,"https://itc.ua/news/general-motors-postroit-elektricheskij-hammer-dlya-armii-ssha-na-osnove-grazhdanskogo-gmc-hummer-ev/""",13.11.2021 в 13:46,"Глава подразделения GM Defense Стив Дюмонт заявил, что его компания создаст прототип электрического военного внедорожника eLRV (electric Light Reconnaissance Vehicle) на основе серийного электропикапа GMC Hummer EV.…"
Игроки обрушили рейтинг ремастеров трилогии GTA на Metacritic — из-за багов и «мультяшной» графики,"https://itc.ua/news/igroki-obrushili-rejting-remasterov-trilogii-gta-na-metacritic-iz-za-bagov-i-multyashnoj-grafiki/""",13.11.2021 в 12:57,"11 ноября Rockstar выпустила сборник ремастеров GTA: The Trilogy — The Definitive, в который вошли обновленные версии GTA III, Vice City и San Andreas. Metacritic открылась возможность выставления пользовательских оценок.…"
SpaceX представила второе поколение спутниковой антенны Starlink — прямоугольной формы и в полтора раза легче оригинальной,"https://itc.ua/news/spacex-predstavila-vtoroe-pokolenie-sputnikovoj-antenny-starlink-pryamougolnoj-formy-i-v-poltora-raza-legche-originalnoj/""",13.11.2021 в 10:34,"SpaceX обновила сайт Starlink , добавив изображения и описание второго поколения антенны для приема сигнала. Редизайн «тарелки» Starlink Изменилась форма антенны Starlink — из круглой она стала…"
"Самые интересные новости и трейлеры с мероприятия Disney Plus Day 2021 от подразделений Disney, 20th Century, Pixar, Marvel и Star Wars","https://itc.ua/news/samye-interesnye-novosti-i-trejlery-s-meropriyatiya-disney-plus-day-2i2/""",12.11.2021 в 18:00,"Как и было запланировано, сегодня компания Disney провела мероприятие Disney Plus Day 2021, приуроченное ко второй годовщине стримингового сервиса Disney+. В рамках этого онлайн-события компания сделала…"
В Україні починається продаж бездротових навушників Redmi Buds 3 за ціною 1300 грн,"https://itc.ua/news/v-ukrayini-pochinayetsya-prodazh-bezdrotovih-navushnikiv-redmi-buds-3-za-czinoyu-3ii-grn/""",12.11.2021 в 17:14,Компанія Xiaomi повідомила про початок продажу в Україні нових бездротових навушників Redmi Buds 3. Вони виконані в форм-факторі вкладишів. Бездротові навушники Redmi Buds 3 оснащено чипом Qualcomm QCC3040. Для…
Tesla Supercharger преодолела рубеж в 30 тыс. станций быстрой зарядки по всему миру,"https://itc.ua/news/tesla-supercharger-preodolela-rubezh-v-3i-tys-stanczij-bystroj-zaryadki-po-vsemu-miru/""",12.11.2021 в 17:02,В Украине первые станции Tesla Supercharger ожидаются в 2022 году. Фирменная сеть станций быстрой зарядки Tesla Supercharger отметилась важным достижением — число точек подключения превысило 30 тыс. штук. 30k…
"Українську електричну вантажівку CoolOn почнуть виробляти у Львові вже у 2022 році, наразі розробники приймають замовлення (ціна — від $16 тис.)","https://itc.ua/news/ukrayinsku-elektrichnu-vantazhivka-coolon-pochnut-zbirat-vzhe-u-2i22-roczi/""",12.11.2021 в 16:46,"Ми неодноразово розповідали про українську електричну вантажівку CoolOn, а зараз з’явилася нова цікава інформація про цей проект. Зокрема, видання AutoGeek поспілкувалося з засновником CoolOn…"
Microsoft позволит выбирать целевую папку при установке игр из Microsoft Store или Xbox Game Pass для ПК (как в Steam),"https://itc.ua/news/microsoft-pozvolit-vybirat-czelevuyu-papku-pri-ustanovke-igr-iz-microsoft-store-ili-xbox-game-pass-dlya-pk-kak-v-steam/""",12.11.2021 в 15:45,"Корпорация Microsoft наконец готова разрешить пользователям Windows устанавливать игры из Microsoft Store или Xbox Game Pass для ПК в любую папку по своему выбору. Таким образом, геймеры смогут указывать…"
